order,id,date,time,title,url,visitCount,typedCount,transition
67,53130,6/15/2025,17:42:54,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DJrtMUMoUIc/?img_index=9,1,0,link
68,53129,6/15/2025,17:42:53,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DJrtMUMoUIc/?img_index=8,1,0,link
69,53128,6/15/2025,17:42:52,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DJrtMUMoUIc/?img_index=7,1,0,link
92,53115,6/15/2025,17:38:27,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C8qOJjztaPZ/?img_index=3,2,0,link
93,53114,6/15/2025,17:38:27,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C8qOJjztaPZ/,1,0,link
115,53095,6/15/2025,17:37:27,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C9lYkY5NzRL/?img_index=3,1,0,link
116,53094,6/15/2025,17:37:26,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C9lYkY5NzRL/?img_index=2,1,0,link
117,53093,6/15/2025,17:37:24,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C9lYkY5NzRL/?img_index=1,1,0,link
118,53092,6/15/2025,17:37:24,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/C9lYkY5NzRL/,1,0,link
119,53033,6/15/2025,17:37:19,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/jeletcysp/,7,0,link
120,53091,6/15/2025,17:37:18,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/?img_index=5,1,0,link
121,53090,6/15/2025,17:37:18,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/?img_index=4,1,0,link
122,53089,6/15/2025,17:37:17,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/?img_index=3,1,0,link
123,53088,6/15/2025,17:37:16,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/?img_index=2,1,0,link
124,53087,6/15/2025,17:37:14,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/?img_index=9,1,0,link
125,53086,6/15/2025,17:37:14,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DBm4lIiNDXI/,1,0,link
126,53085,6/15/2025,17:37:09,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=9,1,0,link
127,53084,6/15/2025,17:37:08,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=8,1,0,link
128,53083,6/15/2025,17:37:07,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=7,1,0,link
129,53082,6/15/2025,17:37:06,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=6,2,0,link
130,53081,6/15/2025,17:37:02,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=5,2,0,link
131,53082,6/15/2025,17:36:57,Jele🫀 (@jeletcysp) • Світлини та відео в Instagram,https://www.instagram.com/p/DCu1U_NSi0E/?img_index=6,2,0,link
186,53029,6/15/2025,17:34:33,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/tagged/,2,0,link
187,53031,6/15/2025,17:34:30,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DK7DlPKtYBm/?img_index=1,1,0,link
188,53030,6/15/2025,17:34:30,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DK7DlPKtYBm/,1,0,link
189,53029,6/15/2025,17:34:27,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/tagged/,2,0,link
190,53003,6/15/2025,17:34:20,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
191,53028,6/15/2025,17:34:19,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/CyWfiEGASFP/,1,0,link
192,53027,6/15/2025,17:34:13,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/nickyjam/?g=5,2,0,link
193,53003,6/15/2025,17:34:13,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
194,53026,6/15/2025,17:34:12,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/nickyjam/?e=331ec414-a11a-40cf-afd5-38d4588a1af5&g=5,1,0,link
195,53025,6/15/2025,17:34:04,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/C_idRNMJ2bb/?img_index=1,1,0,link
196,53024,6/15/2025,17:34:04,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/C_idRNMJ2bb/,1,0,link
197,53003,6/15/2025,17:33:58,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
198,53005,6/15/2025,17:33:57,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAHkdhcNm6P/,2,0,link
199,53003,6/15/2025,17:33:56,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
200,53023,6/15/2025,17:33:55,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=17,1,0,link
201,53022,6/15/2025,17:33:54,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=16,1,0,link
202,53021,6/15/2025,17:33:53,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=15,1,0,link
203,53020,6/15/2025,17:33:52,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=14,1,0,link
204,53019,6/15/2025,17:33:51,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=13,1,0,link
205,53018,6/15/2025,17:33:49,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=12,1,0,link
206,53017,6/15/2025,17:33:48,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=11,1,0,link
207,53016,6/15/2025,17:33:45,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=10,1,0,link
208,53015,6/15/2025,17:33:44,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=9,1,0,link
209,53014,6/15/2025,17:33:43,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=8,1,0,link
210,53013,6/15/2025,17:33:41,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=7,1,0,link
211,53012,6/15/2025,17:33:40,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=6,1,0,link
212,53011,6/15/2025,17:33:38,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=5,1,0,link
213,53010,6/15/2025,17:33:36,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=4,1,0,link
214,53009,6/15/2025,17:33:33,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=3,1,0,link
215,53008,6/15/2025,17:33:30,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=2,1,0,link
216,53007,6/15/2025,17:33:26,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/?img_index=1,1,0,link
217,53006,6/15/2025,17:33:26,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAJmBZsxYgC/,1,0,link
218,53003,6/15/2025,17:33:24,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
219,53005,6/15/2025,17:33:21,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/p/DAHkdhcNm6P/,2,0,link
220,53004,6/15/2025,17:33:11,luar la l - Google Search,https://www.google.com/search?newwindow=1&sca_esv=d572c6a4b45d64e1&sxsrf=AE3TifNKY1jhPwbJtrKmTOBiEe5YlFkSrQ:1749997970700&q=luar+la+l&udm=2&fbs=AIIjpHxU7SXXniUZfeShr2fp4giZ1Y6MJ25_tmWITc7uy4KIeuYzzFkfneXafNx6OMdA4MRT57TpI4o2tavIRfF1e7-xTLfbOlRZsi_SKi4JeEBY7pnUnsYZ2YolLXlDdpWd5X8Dl3ww1kgiAU4MTvhlsxynlXYG66bQ0LfJUkXjx90u6LziqyMljOah4l7FbuzQ5ppUaZOESIdhGWk6sqjHiMsayGn74Q&sa=X&ved=2ahUKEwjtzpq70vONAxWXJRAIHXODLNUQtKgLegQIIhAB&biw=1512&bih=823&dpr=2#vhid=JxpRfrh1ub12rM&vssid=mosaic,1,0,link
221,53003,6/15/2025,17:33:09,Luar La L (@luar_lal) • Світлини та відео в Instagram,https://www.instagram.com/luar_lal/,6,0,link
222,53002,6/15/2025,17:33:05,luar la l - Google Search,https://www.google.com/search?newwindow=1&sca_esv=d572c6a4b45d64e1&sxsrf=AE3TifNKY1jhPwbJtrKmTOBiEe5YlFkSrQ:1749997970700&q=luar+la+l&udm=2&fbs=AIIjpHxU7SXXniUZfeShr2fp4giZ1Y6MJ25_tmWITc7uy4KIeuYzzFkfneXafNx6OMdA4MRT57TpI4o2tavIRfF1e7-xTLfbOlRZsi_SKi4JeEBY7pnUnsYZ2YolLXlDdpWd5X8Dl3ww1kgiAU4MTvhlsxynlXYG66bQ0LfJUkXjx90u6LziqyMljOah4l7FbuzQ5ppUaZOESIdhGWk6sqjHiMsayGn74Q&sa=X&ved=2ahUKEwjtzpq70vONAxWXJRAIHXODLNUQtKgLegQIIhAB&biw=1512&bih=823&dpr=2#vhid=0Ot2l-NEpFngYM&vssid=mosaic,1,0,link
223,53001,6/15/2025,17:33:03,luar la l - Google Search,https://www.google.com/search?newwindow=1&sca_esv=d572c6a4b45d64e1&sxsrf=AE3TifNKY1jhPwbJtrKmTOBiEe5YlFkSrQ:1749997970700&q=luar+la+l&udm=2&fbs=AIIjpHxU7SXXniUZfeShr2fp4giZ1Y6MJ25_tmWITc7uy4KIeuYzzFkfneXafNx6OMdA4MRT57TpI4o2tavIRfF1e7-xTLfbOlRZsi_SKi4JeEBY7pnUnsYZ2YolLXlDdpWd5X8Dl3ww1kgiAU4MTvhlsxynlXYG66bQ0LfJUkXjx90u6LziqyMljOah4l7FbuzQ5ppUaZOESIdhGWk6sqjHiMsayGn74Q&sa=X&ved=2ahUKEwjtzpq70vONAxWXJRAIHXODLNUQtKgLegQIIhAB&biw=1512&bih=823&dpr=2,1,0,link
224,52998,6/15/2025,17:32:57,luar la l - Google Search,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TK80rKgqLIk3YPTizClNLFLISVTIAQBueQg3&q=luar+la+l&oq=luar+la&gs_lcrp=EgZjaHJvbWUqDAgBEC4YJxiABBiKBTIPCAAQIxgnGOMCGIAEGIoFMgwIARAuGCcYgAQYigUyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIGCAcQRRg90gEINDg1OGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,2,0,link
225,53000,6/15/2025,17:32:55,luar la l - Google Search,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TK80rKgqLIk3YPTizClNLFLISVTIAQBueQg3&q=luar+la+l&oq=luar+la&gs_lcrp=EgZjaHJvbWUqDAgBEC4YJxiABBiKBTIPCAAQIxgnGOMCGIAEGIoFMgwIARAuGCcYgAQYigUyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIGCAcQRRg90gEINDg1OGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#vhid=4cK9UotdrMh6BM&vssid=_ktlOaO29KpfLwPAP84ayqQ0_44,1,0,link
226,52999,6/15/2025,17:32:54,luar la l - Google Search,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TK80rKgqLIk3YPTizClNLFLISVTIAQBueQg3&q=luar+la+l&oq=luar+la&gs_lcrp=EgZjaHJvbWUqDAgBEC4YJxiABBiKBTIPCAAQIxgnGOMCGIAEGIoFMgwIARAuGCcYgAQYigUyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIGCAcQRRg90gEINDg1OGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#vhid=EJlfGeUWzmRl8M&vssid=_ktlOaO29KpfLwPAP84ayqQ0_44,1,0,link
227,52998,6/15/2025,17:32:50,luar la l - Google Search,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0TK80rKgqLIk3YPTizClNLFLISVTIAQBueQg3&q=luar+la+l&oq=luar+la&gs_lcrp=EgZjaHJvbWUqDAgBEC4YJxiABBiKBTIPCAAQIxgnGOMCGIAEGIoFMgwIARAuGCcYgAQYigUyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIGCAcQRRg90gEINDg1OGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,2,0,generated
228,52997,6/15/2025,17:32:34,YouTube Music,https://music.youtube.com/watch?v=6mr9dlaM0p4&list=RDAMVM6mr9dlaM0p4,1,0,link
229,72,6/15/2025,17:32:25,YouTube Music,https://music.youtube.com/,477,3,reload
230,51166,6/15/2025,17:32:23,Aroma Parfume Саша - Одеколон: купити за найкращою ціною в Україні | Makeup.ua,https://makeup.com.ua/ua/product/1030557/,1,0,reload
231,103,6/15/2025,17:30:21,"Inbox (5,296) - uzya03@gmail.com - Gmail",https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox,260,0,link
232,52941,6/15/2025,17:16:24,rsq8 - Google Search,https://www.google.com/search?sca_esv=b5163d8851d952ee&rlz=1CDGOYI_enUA912UA912&hl=en-GB&sxsrf=AE3TifMgb-OT2tJcTx3fzFMyJMPotRDUkA:1749892793932&udm=2&fbs=AIIjpHyqq7TquKTaG7yVdtxZ2GNmhBe0Q_JZIxG_Tc7OaN4aXNPzFKPxIlJ3AYkZGNOifgdX-pEQNjXSgwJdeelzvugdImdw-Ia9Fci-vfRQ8DKySVJapl_-feH6aEqb7iLzeTILZh2bE6PfvxY8STgqPz4flnlZrmT9VVZuhkeuCPhfvy5RNeVx1c1FJwQ2_R1wSuHfqJiycwMM2xDAGJ1JxGCkz5mlTLw9v42z3Fs-1GTLsp33I8A&q=rsq8&sa=X&ved=2ahUKEwjkkYLTyvCNAxVRHxAIHcNtHAAQtKgLegQIDhAB&biw=375&bih=633&dpr=3#vhid=S9nsnlVE7CEfIM&vssid=mosaic,3,0,link
255,52790,6/15/2025,16:30:11,I Bought A Warehouse (Schedule 1 Episode 18) - YouTube,https://www.youtube.com/watch?v=va1s1NvKnig,1,0,reload
261,49461,6/15/2025,16:27:23,"Data Projects :: Photos, videos, logos, illustrations and branding :: Behance",https://www.behance.net/search/projects/data?tracking_source=typeahead_search_direct,4,0,link
262,49732,6/15/2025,16:27:23,Food Poster (2) | Images :: Behance,https://www.behance.net/gallery/151402331/Food-Poster/modules/854755649,6,0,link
263,51277,6/15/2025,16:27:21,"Аромат Одеколон ""Саша"" без футляра 75мл – купити з доставкою на ROZETKA",https://rozetka.com.ua/ua/503793859/p503793859/,1,0,reload
264,49461,6/15/2025,16:27:21,"Data Projects :: Photos, videos, logos, illustrations and branding :: Behance",https://www.behance.net/search/projects/data?tracking_source=typeahead_search_direct,4,0,reload
265,49732,6/15/2025,16:27:21,Food Poster (2) | Images :: Behance,https://www.behance.net/gallery/151402331/Food-Poster/modules/854755649,6,0,reload
266,52864,6/15/2025,16:27:21,Scent DNA,https://xphoenixua.github.io/scent-dna/,6,4,reload
